Running for 480.0 seconds (960 samples at 0.5 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts
14:43:09  16.0   0.0  34.1  49.9   0.0    5   1954   2514   0.00E
14:43:10  17.5   0.0  32.5  50.0   0.0    5   1702   2312   0.00E
14:43:10  17.0   0.0  33.1  49.9   0.0    5   1824   2322   0.00E
14:43:11  18.3   0.0  31.8  49.9   0.0    5   1716   2336   0.00E
14:43:11  15.8   0.0  34.3  49.9   0.0    5   1824   2278   0.00E
14:43:12  17.0   0.0  33.0  49.8   0.2    5   1644   2268   0.00E
14:43:12  18.8   0.0  31.2  50.0   0.0    5   1948   2290   0.00E
14:43:13  16.5   0.0  33.7  49.6   0.2    6   1852   2478   0.00E
14:43:13  17.8   0.0  32.6  49.6   0.0    5   1870   2344   0.00E
14:43:14  15.5   0.0  34.8  49.8   0.0    5   1794   2322   0.00E
14:43:14  16.8   0.0  33.6  49.6   0.0    5   1988   2356   0.00E
14:43:15  16.1   0.0  34.2  49.5   0.3    5   2130   2576   0.00E
14:43:15  16.0   0.0  34.2  49.8   0.0    5   2004   2306   0.00E
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts
14:43:16  16.8   0.0  33.2  50.0   0.0    5   1852   2336   0.00E
14:43:16  17.3   0.0  32.9  49.5   0.3    5   2070   2410   0.00E
14:43:17  16.7   0.0  33.4  49.9   0.0    6   1752   2330   0.00E
14:43:17  16.3   0.0  33.8  49.9   0.0    5   1980   2368   0.00E
14:43:18  16.8   0.0  33.3  49.9   0.0    5   1912   2384   0.00E
14:43:18  18.8   0.0  31.2  50.0   0.0    5   1938   2320   0.00E
14:43:19  17.5   0.0  32.8  49.8   0.0    5   1756   2294   0.00E
14:43:19  18.5   0.0  31.6  49.9   0.0    5   1832   2196   0.00E
14:43:20  17.8   0.0  32.2  50.0   0.0    5   1690   2248   0.00E
14:43:20  17.0   0.0  33.2  49.5   0.2    5   1898   2276   0.00E
14:43:21  17.7   0.0  32.4  49.9   0.0    5   1684   2252   0.00E
14:43:21  16.8   0.0  33.2  49.7   0.3    5   1948   2388   0.00E
14:43:22  16.2   0.0  33.8  50.0   0.0    5   1704   2256   0.00E
14:43:22  19.5   0.0  30.8  49.8   0.0    5   1940   2296   0.00E
14:43:23  17.6   0.0  32.7  49.7   0.0    5   1706   2256   0.00E
14:43:23  16.5   0.0  33.7  49.9   0.0    5   1814   2282   0.00E
14:43:24  16.1   0.0  33.9  50.0   0.0    5   1610   2164   0.00E
14:43:24  19.5   0.0  30.8  49.8   0.0    5   1786   2132   0.00E
14:43:25  16.0   0.0  34.0  50.0   0.0    5   1632   2266   0.00E
14:43:25  18.5   0.0  31.8  49.8   0.0    5   1960   2426   0.00E
14:43:26  16.3   0.0  33.6  50.1   0.0    5   1566   2204   0.00E
14:43:26  18.0   0.0  32.6  49.4   0.0    5   1996   2340   0.00E
14:43:27  18.3   0.0  32.1  49.4   0.3    5   1792   2288   0.00E
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts
14:43:27  18.0   0.0  31.8  50.1   0.0    5   1790   2170   0.00E
14:43:28  17.0   0.0  33.1  49.9   0.0    5   1664   2126   0.00E
14:43:28  18.2   0.0  32.1  49.8   0.0    5   1866   2222   0.00E
14:43:29  16.8   0.0  33.3  49.9   0.0    5   1678   2090   0.00E
14:43:29  17.5   0.0  32.5  50.0   0.0    5   1834   2106   0.00E
14:43:30  18.5   0.0  31.6  49.9   0.0    5   1626   2032   0.00E
14:43:30  19.0   0.0  31.2  49.6   0.2    5   2010   2340   0.00E
14:43:31  17.0   0.0  33.2  49.8   0.0    5   1678   2134   0.00E
14:43:31  16.6   0.0  33.4  50.0   0.0    5   1630   2020   0.00E
14:43:32  20.2   0.0  29.8  49.5   0.5    5   1698   2136   0.00E
14:43:32  18.2   0.0  32.0  49.8   0.0    5   2000   2360   0.00E
14:43:33  16.0   0.0  34.0  50.0   0.0    5   1778   2358   0.00E
14:43:33  19.0   0.0  31.1  49.9   0.0    5   2054   2460   0.00E
14:43:34  17.5   0.0  32.5  50.0   0.0    5   1748   2352   0.00E
14:43:34  18.2   0.0  32.0  49.8   0.0    5   1940   2396   0.00E
14:43:35  17.0   0.0  33.1  49.9   0.0    5   1798   2386   0.00E
14:43:35  19.3   0.0  30.8  49.9   0.0    5   2020   2398   0.00E
14:43:36  16.5   0.0  33.6  49.9   0.0    6   1730   2310   0.00E
14:43:36  17.5   0.0  32.7  49.9   0.0    6   1900   2396   0.00E
14:43:37  17.8   0.0  32.3  49.6   0.3    5   1796   2456   0.00E
14:43:37  16.5   0.0  33.5  50.0   0.0    5   1988   2494   0.00E
14:43:38  16.8   0.0  33.3  49.9   0.0    5   1752   2406   0.00E
14:43:38  17.2   0.0  33.5  49.2   0.0    5   2084   2446   0.00E
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s  Watts
14:43:39  17.0   0.0  33.0  50.0   0.0    5   1842   2394   0.00E
14:43:39  17.8   0.0  32.6  49.6   0.0    5   2618   2590   0.00E
14:43:40  15.0   0.0  35.2  49.8   0.0    5   1738   2286   0.00E
14:43:40  15.1   0.0  34.9  50.0   0.0    5   2094   2374   0.00E
